fid,LATITUD,LONGITUD,PROGRESIVA,Z
"441",-34.5702386695822,-58.5506002084518,8850.17,29.52
"442",-34.5702851104549,-58.5503883120334,8870.29,29.99
"443",-34.5703315509491,-58.550176415434,8890.4,24.45
"444",-34.570377991065,-58.5499645186538,8910.51,28.22
"445",-34.5704244308025,-58.5497526216926,8930.63,28.79
"446",-34.5704708701616,-58.5495407245506,8950.74,26.81
"447",-34.5705173091424,-58.5493288272276,8970.86,28.18
"448",-34.5705637477448,-58.5491169297237,8990.97,26.27
"449",-34.5706101859687,-58.548905032039,9011.08,28.61
"450",-34.5706566238144,-58.5486931341733,9031.2,25.59
"451",-34.5707030612816,-58.5484812361268,9051.31,27.39
"452",-34.5707494983704,-58.5482693378995,9071.43,30.73
"453",-34.5707959350809,-58.5480574394912,9091.54,25.21
"454",-34.5708423714129,-58.5478455409021,9111.65,23.59
"455",-34.5708888073666,-58.5476336421321,9131.77,27.19
"456",-34.5709352429419,-58.5474217431813,9151.88,27.5
"457",-34.5709816781387,-58.5472098440497,9172,26.63
"458",-34.5710281129572,-58.5469979447372,9192.11,28.68
"459",-34.5710745473973,-58.5467860452438,9212.22,25.68
"460",-34.571120981459,-58.5465741455697,9232.34,27.3
"461",-34.5711674151423,-58.5463622457147,9252.45,30.39
"462",-34.5712138484471,-58.5461503456789,9272.57,25.06
"463",-34.5712602813736,-58.5459384454623,9292.68,23.08
"464",-34.5713067139217,-58.5457265450649,9312.79,30.3
"465",-34.5713531460914,-58.5455146444867,9332.91,28.6
"466",-34.5713995778826,-58.5453027437277,9353.02,31.59
"467",-34.5714460092954,-58.5450908427879,9373.14,29.68
